"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"223",1.53,0.54,0.19,0.12,0.08,0.59,2.44,6.37,11.16,10.8,4.88,4.83,5.89,6.43,5.53,6.05,6.29,8.4,9.57,9.15,7.6,5.45,4.31,2.92
"224",0.67,0.26,0.12,0.05,0.07,0.08,1.25,2.77,4.99,3.85,2.85,3.44,3.85,3.62,4.18,4.31,5.36,7.4,8.04,6.09,3.48,2.29,1.76,1.11
"225",0.85,0.56,0.23,0.08,0.02,0.16,0.27,0.77,2.47,2.75,3.27,3.57,4.53,5,6.56,6.36,7.64,13.78,16.65,8.82,5.82,3.21,2.18,1.53
"228",0.61,0.3,0.12,0.08,0.04,0.32,1.79,2.93,4.55,3.63,2.71,2.92,4.63,4.24,4.26,5.89,12.56,23.42,12.34,3.69,2.06,1.87,1.45,0.9
"229",1.48,0.69,0.38,0.18,0.11,0.41,1.15,4.21,7.23,10.84,6.57,5.9,6.52,7.46,6.94,7.67,8.56,13.08,15.11,11.59,8.12,6.64,4.14,3.21
"232",0.24,0.03,0.03,0.02,0.01,0.02,0.12,0.32,1.21,1.43,0.87,1.68,1.79,2.08,2.22,2.43,2.56,2.95,2.8,1.62,1.26,0.54,0.6,0.21
"233",0.06,0.03,0.01,0.01,0.01,NA,0.11,0.32,1.75,2.01,0.79,0.74,1.66,1.02,1,2.34,1.2,1.66,1.3,0.82,0.59,0.33,0.25,0.14
"236",1.99,1.72,0.72,0.39,0.44,0.96,3.85,5.91,18.1,10.94,7.8,6.85,6.96,7.58,6.72,7.22,6.61,8.94,10.08,9.91,7.3,6.32,5.98,4.24
"237",2.42,1.4,0.66,0.34,0.15,1.21,4.71,10.78,17.37,6.53,3.82,4.18,6.05,6.52,6.05,6.68,7.94,8.91,11.1,9.86,7.97,6.63,5.91,4.55
"238",0.81,0.37,0.11,0.06,0.4,0.71,3.21,6.56,11.73,6.33,3.06,3.67,3.56,3.5,4.4,4.84,4.49,5.68,6.73,4.48,3.19,2.56,2.33,1.68
"239",0.2,0.09,0.11,0.03,0.1,0.05,0.22,1.08,2.14,2.7,1.1,0.94,1.33,1.31,1.64,1.75,2.72,4.62,7.2,4.02,2.11,1.28,0.86,0.72
"241",0.15,0.08,0.03,0.02,0.01,0.05,1.95,2.41,4.42,2.11,1.33,0.88,0.88,0.99,0.82,1.01,0.79,1.05,1.21,1.31,0.91,0.54,0.55,0.47
"242",0.16,0.13,0.07,0.02,NA,0.07,0.08,0.51,2.56,1.56,1.4,1.6,1.56,2.47,1.66,1.13,1.23,2.05,2.33,1.62,0.88,0.44,0.46,0.32
"243",0.27,0.18,0.03,0.02,0.04,0.05,0.14,1.05,1.08,1.94,1.1,0.66,0.95,0.89,1.2,0.92,1.15,2.66,3.77,3.51,2.27,1.53,0.99,0.66
"244",0.09,0.05,0.04,0.03,0.02,0.05,0.29,2.01,6.54,4.34,1.27,1.01,1.05,0.87,0.9,0.98,1.15,1.81,1.54,1.41,0.84,0.69,0.4,0.25
"245",0.07,0.04,0.02,0.01,0.02,NA,0.18,1.2,2.16,1.99,0.9,0.56,0.64,0.83,0.52,0.5,0.74,1.14,0.98,0.95,0.51,0.48,0.22,0.11
"247",0.71,0.21,0.11,0.05,0.05,0.39,3.21,5.67,8.82,4.29,2.53,3.14,3.53,3.92,3.99,4.63,4.86,5.22,5.86,4.81,3.18,2.27,2.63,1.8
"248",0.13,0.02,0.02,0.02,0.02,0.12,0.45,0.93,1.2,1.73,1.34,1.45,2.15,1.82,2.15,1.89,2.99,7.38,7.11,2.14,0.9,0.66,0.4,0.23
"249",0.32,0.14,0.09,0.02,0.02,0.05,0.38,1.9,2.95,3.34,2.98,2.6,2.91,2.68,2.82,3.73,4.83,11.76,11.07,4.53,2.44,1.46,0.89,0.82
"250",1.36,0.62,0.33,0.16,0.19,0.24,1.4,6.37,11.97,10.98,8.77,9.92,11.12,13.76,13.04,13.7,14.95,23.34,33.31,20.8,10.98,6.36,4.29,2.32
"251",2.02,0.69,0.31,0.15,0.2,0.5,3.3,5.79,7.01,9.02,7.05,5.44,6.39,6.44,6.48,7.38,6.62,8.83,12.39,14.08,9.78,8.06,6.33,4.89
"252",1.72,0.45,0.26,0.08,0.07,0.24,2.28,4.86,8.92,10.14,6.15,5.35,5.61,5.92,6.23,7.18,8.1,9.08,11.14,7.76,6.14,5.81,4.01,2.52
"253",0.83,0.41,0.25,0.1,0.08,0.16,1.69,3.56,6.53,8.83,5.62,6.59,7.09,7.79,8.98,8.44,8.52,13.02,13.16,10.69,7.97,5.6,3.66,2.19
"254",0.67,0.4,0.2,0.04,0.11,0.47,1.3,3.74,7.82,5.63,2.99,3.04,3.21,3.8,3.6,3.74,3.6,5.32,5.89,5.26,3.81,3.1,3.05,1.95
"257",0.74,0.52,0.34,0.2,0.09,0.17,1.2,2.53,4.63,5.73,3.43,4.36,4.69,6.21,5.77,5.65,6.41,11.68,16.75,11.09,5.37,3.66,1.82,1.48
"258",0.52,0.37,0.16,0.09,0.05,0.44,1.03,4.92,5.05,2.08,0.97,0.88,0.92,0.89,0.93,0.96,0.81,1.14,1.59,1.66,1.31,0.87,1.1,0.88
"259",0.41,0.05,0.09,0.01,0.02,0.4,1.22,2.06,4.89,3.28,2.15,3.36,4.09,3.53,4,4.68,6.47,15.66,12.1,4.72,1.92,1.42,0.76,0.6
"260",0.22,0.18,0.06,0.02,0.01,0.02,0.25,0.59,0.39,0.91,0.9,1.34,2.47,2.73,3.35,4.13,8.24,14.02,4.95,2.26,1.35,0.89,0.45,0.22
"261",0.16,0.09,0.08,0.12,0.12,1.44,1.85,2.02,4.63,3.27,1.77,1.47,1.5,1.9,1.44,1.24,1.36,2.07,3.51,3.02,1.82,1.09,0.6,0.38
"262",0.05,0.04,NA,NA,NA,0.05,1.36,2.36,6.92,2.72,1.04,0.83,0.98,0.87,0.66,0.67,0.71,0.82,1.32,1.04,0.67,0.31,0.27,0.1
