"sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"224",0.02,0.03,0.02,0.02,NA,NA,0.02,0.02,NA,NA,0.02,0.04,0.04,0.03,0.06,0.1,0.06,0.08,0.03,NA,NA,NA,0.01,0.02
"225",0.02,0.01,0.04,0.02,0.04,0.03,0.02,0.04,0.01,0.02,0.02,0.1,0.06,0.09,0.07,0.09,0.05,0.08,0.05,0.05,0.05,0.02,0.01,0.03
"228",0.02,0.01,0.01,0.02,0.03,0.01,NA,0.01,0.01,0.02,0.03,0.04,0.05,0.13,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
"229",0.01,0.01,0.01,0.02,NA,0.02,0.02,0.02,0.01,0.04,0.04,0.05,0.02,0.05,0.02,0.02,0.05,0.05,0.05,0.07,0.02,0.02,0.02,NA
"232",0.07,0.02,0.03,0.05,0.03,0.02,0.01,0.03,0.02,0.05,0.03,0.05,0.02,0.02,0.11,0.03,0.04,0.02,0.02,0.05,NA,0.02,0.03,0.02
"233",0.18,0.15,0.12,0.11,0.17,0.06,0.07,0.05,0.04,0.05,0.12,0.2,0.21,0.21,0.13,0.15,0.11,0.06,0.05,0.05,0.12,0.08,0.1,0.15
"236",0.28,0.45,0.63,0.54,0.39,0.37,0.21,0.15,0.69,3.75,2.47,0.86,0.5,0.42,0.17,0.15,0.11,0.09,0.08,0.23,0.3,0.34,0.15,0.14
"237",0.06,0.09,0.06,0.12,0.07,0.03,0.01,0.03,0.08,0.02,0.04,0.04,0.18,0.13,0.4,0.5,0.21,0.12,0.12,0.16,0.2,0.15,0.25,0.13
"238",0.07,0.05,0.03,0.03,0.01,0.02,NA,NA,NA,0.01,0.03,0.07,0.05,0.07,0.08,0.09,0.04,0.03,0.03,0.05,0.08,0.03,0.04,0.04
"239",0.08,0.11,0.11,0.1,0.1,0.16,0.2,0.12,0.09,0.05,0.03,0.08,0.06,0.11,0.17,0.15,0.1,0.18,0.18,0.2,0.16,0.13,0.08,0.05
"241",0.24,0.11,0.18,0.18,0.11,0.08,0.08,0.05,0.16,0.16,0.22,0.31,0.2,0.26,0.15,0.07,0.08,0.06,0.08,0.08,0.23,0.19,0.12,0.15
