"id","sid","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","cluster"
"1",72,0.434852801519468,0.406023222060958,0.414027149321267,0.431776556776557,0.411127707244212,0.445692918192918,0.501468155500414,0.540691730563113,0.401962646407091,0.228844228844229,0.193486590038314,0.236596736596737,0.275862068965517,0.277333942022369,0.265659072110685,0.256488669332706,0.238821138211382,0.178787878787879,0.206888633754305,0.240612844328015,0.307310744810745,0.37251154642459,0.417128500701988,0.430752079581511,1
"2",79,0.171268237934905,0.144654088050314,0.144639674051439,0.134334415584416,0.131509267431598,0.144011544011544,0.121429347235799,0.149858715775115,0.224560419004863,0.524160524160524,0.711076280041797,0.739755509641873,0.718042493904563,0.714683931301142,0.683728783435528,0.669724770642202,0.668498108777879,0.659579754766921,0.525357171362439,0.37126868760451,0.284515321280027,0.226076127091153,0.201767312898437,0.181615485963312,2
"3",82,0.57599451303155,0.614605171208945,0.605820105820106,0.614417989417989,0.62621359223301,0.617460317460317,0.555555555555556,0.535429319995236,0.440786465477823,0.349349349349349,0.306726266496381,0.30145202020202,0.289059174116645,0.290691284756567,0.291300097751711,0.293804507871786,0.324186991869919,0.348933782267116,0.397567716970702,0.430569888774223,0.435956790123457,0.458362088796871,0.493222328957199,0.504397373962591,3
"4",83,0.32610513739546,0.254945222154595,0.255218216318786,0.253888248847926,0.24608518634513,0.245929339477727,0.297748897656069,0.298464889534281,0.315312624452409,0.311295166133876,0.304134223210975,0.307734604105572,0.32100482017056,0.323011390829903,0.332135086557563,0.3353556278978,0.349822974036192,0.360703812316716,0.372267693789119,0.386797163687207,0.435339861751152,0.42200961731116,0.410151529236776,0.392275326356673,1
"5",116,0.374074074074074,0.376390904692791,0.361667744020685,0.358058608058608,0.352501867064974,0.323687423687424,0.296439771259915,0.287575232912853,0.305555555555556,0.394625394625395,0.517020335985853,0.574810606060606,0.609269083407014,0.602297801110858,0.574404090533123,0.497686818787736,0.403142589118199,0.271717171717172,0.189820130118638,0.202429149797571,0.208943833943834,0.272973403408186,0.312938742333555,0.329731583912186,1
"6",119,0.498440545808967,0.504716981132075,0.497567448031844,0.484727443609023,0.495656617271334,0.508020050125313,0.51230594471791,0.469453376205788,0.460688758934373,0.400189663347558,0.36231884057971,0.343269678621332,0.341482404235441,0.324825618262524,0.343897730854081,0.357421875,0.398799913895167,0.408851674641148,0.465691280439906,0.492504481016783,0.518346647869674,0.524436090225564,0.535530107689974,0.535733145572962,3
"7",120,0.564327485380117,0.587140019860973,0.577620521892968,0.580122180451128,0.573837506387328,0.601754385964912,0.572510412722454,0.497376882721273,0.387589343729695,0.203730045835309,0.145946763460375,0.161333732057416,0.165305505142166,0.179134780571607,0.180120388948912,0.181071945919845,0.184210526315789,0.205103668261563,0.263472113118617,0.366139807723643,0.453790726817043,0.499019287348807,0.533596238434703,0.549903186058792,3
"8",127,0.728793309438471,0.721393791844188,0.723366766061263,0.728254608294931,0.71296586282493,0.705304659498208,0.709352517985611,0.621021332503544,0.325740076994557,0.265911072362685,0.44705772985033,0.41083211143695,0.343437152391546,0.329759739638174,0.337338000189197,0.364703561211404,0.347265932336743,0.395796676441838,0.506307173808377,0.650054928592829,0.711885560675883,0.737828090563013,0.756158780329088,0.75617650231956,3
"9",128,0.394202898550725,0.402801120448179,0.438133333333333,0.403703703703704,0.385632183908046,0.338461538461538,0.27119341563786,0.30085910652921,0.453945249597423,0.679716981132075,0.796788990825688,0.809741248097413,0.770967741935484,0.755919003115265,0.706938159879336,0.653178294573643,0.647887323943662,0.573118279569892,0.379756468797565,0.306280193236715,0.392285298398836,0.439043209876543,0.449130434782609,0.411111111111111,2
"10",137,0.0736714975845411,0.0594749794913864,0.077274388016076,0.0599767080745342,0.0524482904178978,0.0597308488612836,0.118470441038474,0.289668670487907,0.742351046698873,0.895613004308657,0.889805097451274,0.86616847826087,0.810344827586207,0.764998064765837,0.695970929491266,0.605836989762,0.422852598091198,0.130237154150198,0.0384166125892278,0.141674518777763,0.199145962732919,0.151836348906292,0.11032452073675,0.0908826523193253,2
